scenario,method,seed,episode,service_level,total_cost,scri_viol,VaR95,TVaR95
S1,qlearning,0,130,0.15081206496519722,6149.5,1,1856.3999999999999,1937.5
S1,qlearning,0,131,0.15378700499807765,5507.0,0,1955.9999999999998,2133.0
S1,qlearning,0,132,0.13377278014734392,5980.0,2,1399.2,1409.0
S1,qlearning,0,133,0.119750656167979,5708.0,0,1405.8,1424.0
S1,qlearning,0,134,0.10197775030902348,7028.3,8,2147.6,2245.0
S1,qlearning,0,135,0.12303851640513552,5746.0,0,1579.0,1597.0
S1,qlearning,0,136,0.14599855803893294,6365.0,0,1716.2,1741.5
S1,qlearning,0,137,0.15302491103202848,6276.0,2,1634.6,1660.0
S1,qlearning,0,138,0.16357688113413305,5616.0,0,1682.0,1803.0
S1,qlearning,0,139,0.1452991452991453,6966.0,2,2064.2,2098.0
S1,qlearning,0,140,0.14253320375769354,6298.0,0,1846.6,1940.0
S1,qlearning,0,141,0.1334910442717134,6284.0,0,1997.7999999999997,2171.0
S1,qlearning,0,142,0.14950166112956811,5015.0,2,1353.6,1400.0
S1,qlearning,0,143,0.12586949320967208,6010.0,0,1647.3999999999999,1712.0
S1,qlearning,0,144,0.15904139433551198,4783.0,0,1461.6,1463.0
S1,qlearning,0,145,0.17526964560862865,5823.0,0,1788.1999999999998,1888.0
S1,qlearning,0,146,0.13652482269503546,5597.8,2,1530.6,1599.0
S1,qlearning,0,147,0.12253991830672113,5846.0,1,1466.0,1504.0
S1,qlearning,0,148,0.12454334108269678,6006.3,5,1654.8,1709.0
S1,qlearning,0,149,0.1518942101501072,6576.5,0,2231.2,2325.5
S1,qlearning,0,150,0.1650846058605035,5427.0,0,1919.3999999999999,2115.0
S1,qlearning,0,151,0.13927097661623108,5971.5,0,1715.1999999999998,1796.5
S1,qlearning,0,152,0.1289502361060661,5964.5,0,2000.6,2187.5
S1,qlearning,0,153,0.11900532859680284,6054.0,2,1726.0,1807.0
S1,qlearning,0,154,0.1333827343460541,5927.5,4,1705.5,1710.0
S1,qlearning,0,155,0.14736120630568883,6199.5,2,1774.8999999999999,1819.0
S1,qlearning,0,156,0.1530955585464334,6354.0,3,2055.0,2168.0
S1,qlearning,0,157,0.12578616352201258,6443.0,1,1980.1999999999998,2067.0
S1,qlearning,0,158,0.13758146270818247,6361.5,3,1941.6,2122.5
S1,qlearning,0,159,0.13500931098696461,7423.0,1,2218.2,2244.0
S1,qlearning,0,160,0.1485325697924123,5785.8,0,1717.6399999999999,1732.8
S1,qlearning,0,161,0.17346549752192147,5816.0,0,1743.1999999999998,1819.0
S1,qlearning,0,162,0.16400164001640016,5335.0,1,1590.8,1623.0
S1,qlearning,0,163,0.148479427549195,6292.5,2,1866.2,1897.0
S1,qlearning,0,164,0.12807717897538257,7039.0,0,2210.6,2406.0
S1,qlearning,0,165,0.11224826675470452,7165.0,2,1933.2,1988.0
S1,qlearning,0,166,0.13957307060755336,6610.0,2,2249.4,2368.0
S1,qlearning,0,167,0.1590990346800143,6976.0,0,1767.0,1784.0
S1,qlearning,0,168,0.16317843206810925,5776.0,0,1693.2,1729.0
S1,qlearning,0,169,0.11057979677226538,8398.0,4,2326.2,2334.0
S1,qlearning,0,170,0.1243953006219765,6951.166666666667,8,2166.9333333333334,2297.666666666667
S1,qlearning,0,171,0.1820999612553274,5881.0,0,1617.0,1618.0
S1,qlearning,0,172,0.12317666126418152,6641.0,3,1906.0,2002.0
S1,qlearning,0,173,0.12544802867383512,5819.0,0,1634.2,1700.0
S1,qlearning,0,174,0.1397459165154265,5991.0,3,1780.3999999999999,1869.0
S1,qlearning,0,175,0.1546572934973638,6550.5,0,1940.8999999999999,2000.0
S1,qlearning,0,176,0.1546579330422125,6222.0,1,1834.6,1902.0
S1,qlearning,0,177,0.13354917037636585,5830.5,0,1669.3,1670.0
S1,qlearning,0,178,0.1179890560875513,5799.0,1,1518.0,1529.0
S1,qlearning,0,179,0.12908496732026145,7007.0,0,1929.0,2012.0
S1,qlearning,0,180,0.14720476347998676,6756.666666666667,0,1938.3999999999999,2038.0
S1,qlearning,0,181,0.14136125654450263,6584.0,0,1703.0,1746.0
S1,qlearning,0,182,0.14683447749809306,5726.0,3,1629.0,1659.0
S1,qlearning,0,183,0.1431980906921241,5827.0,1,1601.2,1629.0
S1,qlearning,0,184,0.13034410844629823,5971.0,0,1700.6,1791.0
S1,qlearning,0,185,0.13294198895027623,6276.5,0,2017.8,2153.5
S1,qlearning,0,186,0.15561843168957154,5703.4,1,1628.4,1628.5
S1,qlearning,0,187,0.12907608695652173,5836.0,2,1778.0,1874.0
S1,qlearning,0,188,0.12739907346128393,6066.0,2,1749.1999999999998,1830.0
S1,qlearning,0,189,0.17348927875243664,5703.5,0,1883.3999999999999,1982.5
S1,qlearning,0,190,0.15003615328994938,5732.0,3,1607.0,1638.0
S1,qlearning,0,191,0.11932383162081538,6006.0,0,1579.2,1637.0
S1,qlearning,0,192,0.14546810891458412,4964.0,0,1332.3999999999999,1369.0
S1,qlearning,0,193,0.16350210970464135,5600.0,1,1694.0,1803.0
S1,qlearning,0,194,0.13944954128440368,6842.0,0,2189.6,2388.0
S1,qlearning,0,195,0.15710919088766692,5437.0,0,1530.6,1565.0
S1,qlearning,0,196,0.183585313174946,6340.0,0,2025.2,2046.0
S1,qlearning,0,197,0.19091256204658266,6042.0,4,1991.6,2117.5
S1,qlearning,0,198,0.16928011404134,6056.0,0,1676.8,1726.0
S1,qlearning,0,199,0.16832440703902066,5270.0,2,1533.6,1604.0
S1,qlearning,0,200,0.15949554896142434,6098.0,4,1944.1999999999998,2077.0
S1,qlearning,0,201,0.20237121831561733,5391.6,0,1362.3999999999999,1411.0
S1,qlearning,0,202,0.1724137931034483,5895.0,7,1830.8,1960.0
S1,qlearning,0,203,0.1528709917971663,5270.0,2,1595.8,1680.0
S1,qlearning,0,204,0.17638840377226686,6747.0,8,1898.6,1990.0
S1,qlearning,0,205,0.1532033426183844,5886.0,4,1587.0,1654.0
S1,qlearning,0,206,0.135236664162284,5589.0,5,1462.8,1466.0
S1,qlearning,0,207,0.14608695652173914,6554.0,2,2403.9999999999995,2701.0
S1,qlearning,0,208,0.16521423384168482,6023.1,4,2271.7999999999997,2472.0
S1,qlearning,0,209,0.17584994138335286,5468.0,0,1656.1999999999998,1771.0
S1,qlearning,0,210,0.13479226133840785,7287.5,3,1842.7,1850.0
S1,qlearning,0,211,0.15063520871143377,5474.0,8,1706.1999999999998,1801.0
S1,qlearning,0,212,0.14045906132237068,6278.0,0,1663.2,1667.0
S1,qlearning,0,213,0.12727898176814587,5441.0,1,1438.2,1478.0
S1,qlearning,0,214,0.1699561403508772,5299.0,3,1464.3999999999999,1524.0
S1,qlearning,0,215,0.13805721889554226,6285.0,5,1547.6,1562.0
S1,qlearning,0,216,0.17446633825944172,5190.6,0,1674.3999999999999,1808.0
S1,qlearning,0,217,0.1645940014630578,5562.0,0,1598.3999999999999,1676.0
S1,qlearning,0,218,0.1467430207587688,5971.0,0,1645.8,1692.0
S1,qlearning,0,219,0.18246802106847254,5421.3,4,1585.8,1654.0
S1,qlearning,0,220,0.12437810945273632,5623.0,7,1691.6,1777.0
S1,qlearning,0,221,0.13580655846306725,6410.0,0,1746.6,1786.0
S1,qlearning,0,222,0.13820853743876838,6113.8,2,1567.8,1619.5
S1,qlearning,0,223,0.14747474747474748,5363.5,0,2010.1999999999998,2264.5
S1,qlearning,0,224,0.14652014652014653,6113.2,8,2140.0,2252.5
S1,qlearning,0,225,0.15557762330354188,7539.333333333333,0,2193.866666666667,2245.0
S1,qlearning,0,226,0.139186295503212,6515.5,0,1946.3999999999999,2037.5
S1,qlearning,0,227,0.13743708865660084,5254.0,0,1312.0,1317.0
S1,qlearning,0,228,0.16591560835723065,5593.0,0,1784.8,1798.0
S1,qlearning,0,229,0.1256198347107438,7233.5,2,2081.0,2142.5
S1,qlearning,0,230,0.13404825737265416,6722.5,2,2028.1999999999998,2127.5
S1,qlearning,0,231,0.11561721807186055,6543.0,2,1994.1999999999998,2111.0
S1,qlearning,0,232,0.14568546880836758,7045.8,4,2024.7,2044.5
S1,qlearning,0,233,0.1473647711511789,5937.0,2,1530.4,1549.0
S1,qlearning,0,234,0.1500732064421669,5936.0,3,1955.0,2014.0
