service_level,total_cost,scri_viol,VaR95,TVaR95,scenario,method,seed,episode,c_h,c_b,c_o,c_disruption,lambda_scri,scri_threshold,scri_mode,s,S
0.18518518518518517,5080.3,3,1318.86,1338.0,S1,"sS(s=0,S=20)",42,13,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.20259938837920488,4769.0,2,1287.2,1298.0,S1,"sS(s=0,S=20)",42,14,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.202991452991453,5088.0,3,1404.8,1409.0,S1,"sS(s=0,S=20)",42,15,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.2055306427503737,4854.0,0,1419.0,1440.0,S1,"sS(s=0,S=20)",42,16,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.18661971830985916,5227.0,3,1412.0,1453.0,S1,"sS(s=0,S=20)",42,17,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.1903735632183908,5120.0,3,1369.3999999999999,1415.0,S1,"sS(s=0,S=20)",42,18,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.210727969348659,4692.7,2,1246.8,1288.0,S1,"sS(s=0,S=20)",42,19,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.1896921975662133,5110.0,1,1468.6,1516.0,S1,"sS(s=0,S=20)",42,20,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.18777739842949812,5340.4,4,1474.44,1490.0,S1,"sS(s=0,S=20)",42,21,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.16798732171156894,5832.0,1,1623.8,1684.0,S1,"sS(s=0,S=20)",42,22,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.15822784810126583,5346.4,2,1431.44,1448.0,S1,"sS(s=0,S=20)",42,23,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.19656897784131522,5063.0,1,1306.4,1334.0,S1,"sS(s=0,S=20)",42,24,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.19271198318149965,5155.0,0,1400.0,1442.0,S1,"sS(s=0,S=20)",42,25,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.19805680119581465,4964.0,6,1335.6,1356.0,S1,"sS(s=0,S=20)",42,26,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.17359973796265968,5674.2,4,1640.8,1644.0,S1,"sS(s=0,S=20)",42,27,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.21367521367521367,4595.0,0,1323.6,1390.0,S1,"sS(s=0,S=20)",42,28,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.21369069177834119,4889.0,0,1585.1999999999998,1728.0,S1,"sS(s=0,S=20)",42,29,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.19600855310049894,5059.0,0,1290.8,1306.0,S1,"sS(s=0,S=20)",42,30,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.17282277194171466,5429.0,0,1437.6,1468.0,S1,"sS(s=0,S=20)",42,31,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.18162393162393162,5108.7,0,1252.4,1254.0,S1,"sS(s=0,S=20)",42,32,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.1949963208241354,4938.0,2,1382.42,1406.0,S1,"sS(s=0,S=20)",42,33,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.1882443334613907,4809.5,4,1454.0,1554.0,S1,"sS(s=0,S=20)",42,34,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.20566550252231278,4641.0,0,1217.2,1250.0,S1,"sS(s=0,S=20)",42,35,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.19394351820347056,5330.0,2,1429.6,1453.0,S1,"sS(s=0,S=20)",42,36,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.19023689877961233,5101.0,3,1409.4,1429.0,S1,"sS(s=0,S=20)",42,37,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.18441196938065413,5235.0,0,1516.8,1584.0,S1,"sS(s=0,S=20)",42,38,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.19967400162999185,4491.8,3,1298.8799999999999,1313.6,S1,"sS(s=0,S=20)",42,39,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.1955521472392638,4783.2,2,1340.8,1352.0,S1,"sS(s=0,S=20)",42,40,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.19538188277087035,5077.0,0,1290.4,1318.0,S1,"sS(s=0,S=20)",42,41,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.18033344675059543,5415.0,2,1550.0,1612.0,S1,"sS(s=0,S=20)",42,42,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
0.19910605444941082,4514.4,1,1063.72,1066.4,S1,"sS(s=0,S=20)",42,43,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,20.0
